-0.000012,-0.000026,0.795628,0.005366,-0.002449,-0.000595,0.999982,-0.018540,0.022384,0.039278,0.165773,-0.211889,-0.018381,-0.031425,-0.006403,-0.045020,0.254050,-0.268714,-0.005211,-0.000127,-0.007178,-0.010487,0.039009,1.799681,-0.045626,1.440738,0.093253,0.168950,0.093311,0.024940,-1.773311,0.050154,1.388461,-0.093961,0.247781,-0.148754
0.000260,0.000032,0.795661,0.007213,-0.005912,-0.000661,0.999956,-0.002230,0.019458,0.041839,0.149626,-0.209609,-0.019681,-0.020312,-0.010553,-0.045775,0.249370,-0.275230,-0.004989,0.000097,-0.010881,-0.004496,0.019972,1.786163,-0.025955,1.363546,0.135721,0.250907,0.081280,0.008506,-1.767163,0.038751,1.280679,-0.127874,0.362796,-0.136681
0.000535,0.000191,0.795675,0.008672,-0.008704,-0.000539,0.999924,0.006123,0.016212,0.042402,0.145503,-0.208325,-0.019335,-0.012930,-0.013951,-0.045663,0.247744,-0.275683,-0.004635,0.000327,-0.013512,0.000450,0.002012,1.785587,-0.003010,1.317987,0.179878,0.300493,0.065459,-0.004190,-1.762399,0.019267,1.219592,-0.165234,0.429927,-0.123782
0.000856,0.000375,0.795674,0.009775,-0.010781,-0.000391,0.999894,0.011394,0.013504,0.042604,0.144409,-0.208112,-0.018804,-0.007456,-0.016663,-0.045682,0.246832,-0.275659,-0.004436,0.000364,-0.015351,0.004030,-0.010904,1.785519,0.018050,1.291888,0.223898,0.325924,0.049715,-0.013387,-1.756845,-0.005585,1.187374,-0.202771,0.464338,-0.112625
0.001202,0.000562,0.795658,0.010623,-0.012343,-0.000398,0.999867,0.015203,0.011399,0.042979,0.144254,-0.208467,-0.018347,-0.003506,-0.018781,-0.045519,0.246685,-0.275902,-0.004259,0.000142,-0.016581,0.006587,-0.018633,1.785444,0.036207,1.279043,0.265228,0.336001,0.034980,-0.019584,-1.750782,-0.033610,1.172085,-0.238867,0.477096,-0.102662
0.001536,0.000748,0.795632,0.011212,-0.013525,-0.000649,0.999845,0.018277,0.009949,0.043741,0.144240,-0.209032,-0.017968,-0.001028,-0.020248,-0.044903,0.247338,-0.276305,-0.003948,-0.000077,-0.017429,0.008529,-0.024776,1.785343,0.054501,1.274994,0.299760,0.338693,0.015906,-0.023270,-1.744093,-0.063381,1.164893,-0.272904,0.480448,-0.090723
0.001858,0.000919,0.795607,0.011618,-0.014535,-0.001317,0.999826,0.021423,0.009087,0.045196,0.143744,-0.209575,-0.017694,0.000835,-0.021102,-0.043590,0.248094,-0.276622,-0.003736,-0.000062,-0.018013,0.010077,-0.030937,1.785259,0.074340,1.275147,0.329755,0.341304,0.004589,-0.023293,-1.738240,-0.091736,1.160031,-0.307691,0.481211,-0.077558
0.002152,0.001063,0.795584,0.011894,-0.015458,-0.002307,0.999807,0.024630,0.008697,0.047191,0.142958,-0.210129,-0.017500,0.002486,-0.021466,-0.041729,0.248664,-0.276790,-0.003612,0.000296,-0.018386,0.011402,-0.036068,1.785177,0.094546,1.276623,0.356927,0.343912,-0.000117,-0.021734,-1.733395,-0.119670,1.155732,-0.343261,0.481652,-0.068486
0.002387,0.001189,0.795563,0.012006,-0.016276,-0.003365,0.999790,0.027246,0.008713,0.049288,0.142730,-0.210936,-0.017339,0.003939,-0.021420,-0.039717,0.249020,-0.276834,-0.003527,0.000946,-0.018594,0.012654,-0.040293,1.785127,0.115066,1.277799,0.382186,0.344800,-0.003110,-0.020040,-1.728366,-0.148499,1.151638,-0.377961,0.482081,-0.062556
0.002535,0.001291,0.795543,0.012043,-0.017017,-0.004375,0.999773,0.029078,0.008925,0.051227,0.143312,-0.211943,-0.017189,0.005226,-0.021192,-0.037759,0.249200,-0.276810,-0.003470,0.001717,-0.018619,0.013862,-0.043905,1.785110,0.135892,1.277915,0.406910,0.344983,-0.002265,-0.018370,-1.723025,-0.178359,1.147385,-0.410838,0.482389,-0.056544
